articleIndex,articleTitle,text
214,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"them unless the context implies otherwise:

Emirate: 

The Emirate of Dubai. 

Department: 

The Land Department.

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However, 
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of 
conflict the Arabic text will prevail.

8888

Chairman: 

The chairman of the Department. 

Property Register: The property register maintained by the Department.

Master Developer: Any person licensed to engage in the real estate development 

business and the sale of Units in the Emirate in accordance with the 

provisions of a Master Community Declaration. 

Sub-developer: 

Any person licensed to engage in the real estate development 

business and the sale of Units, and granted by the Master 

Developer the right to develop part of a real estate development 

project in accordance with the provisions of the Master Community 

Declaration applicable to the project. 

Jointly Owned 

The whole or any part of a building or land, or both, which is divided 

Real Property: 

into Units intended for separate ownership where parts of such 

building or land are designated as Common Areas. 

Unit: 

Any apartment, floor, parcel of land, or house (villa) attached to or 

detached from another house which is a part of a Jointly Owned 

Real Property. 

Common Areas: 

The common parts of a real property, shown on the Site Plan, 

designated for common use by the Owners and Occupiers of Units.

Site Plan: 

A plan registered in the Property Register, showing the Units and 

their Common Areas. 

Owner: 

Any person registered in the Property Register as owner of a Unit, 

including persons who have a long-term leasehold contract or 

usufruct rights for limited period, or the Master Developer or Sub-

developer in regards to unsold Units. 

Master Community

The terms and conditions governing the development and operation 

Declaration: 

of Jointly Owned Real Property. 

Building 

A document issued in accordance with the relevant bylaws and registered 

Management

in the Property Register. This document sets out arrangements for the 

Regulation: 

maintenance of shared Utility Services and Common Areas, including 

equipment and services in any part of another building which is subject 

to the provisions of this Law, and cost sharing related thereto.

8989

Owners 

An association established in accordance with the provisions of 

Association:"
241,Law comes into force will be deemed void.,"1. 

If the Jointly Owned Real Property is developed in phases, the Master Community 

Declaration must set out the arrangements for dividing the project into phases. 

2. 

If the Jointly Owned Real Property constitutes part of a real estate development 

project and the Building Management Regulation does not provide for the method 

of managing this building, the Building Management Regulation must be recorded 

in the Property Register. 

Chapter Seven

Insurance on Jointly Owned Real Property"
97,Executive Council Resolution No. (24) of 2006 Approving Charges for Certain Real,When paying the Fees prescribed by
242,Law comes into force will be deemed void.,"The Owners Association will procure insurance to cover the repair or reconstruction of 

the Jointly Owned Real Property in the event of its destruction or damage for any reason 

whatsoever, provided that the beneficiary of such insurance is the Owners Association. 

9999"
307,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"This Law will apply to Developers who sell Units off-plan in Real Estate Development 

projects in the Emirate and who receive payments from purchasers or financers towards 

such Units."
31,Law No. (27) of 2006 and its amendments will apply to these employees.,"In return for registering real property dispositions and providing other services, the 

Department will charge fees as determined pursuant to a resolution of the Chairman of 

the Executive Council.

Financial Resources of the Department"
366,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,Subject to
291,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"The following words and expressions will have the meaning indicated opposite each of 

them unless the context implies otherwise:

Ruler: 

Emirate: 

His Highness the Ruler of Dubai.

The Emirate of Dubai.

Government: 

The Government of Dubai.

Executive Council: 

The Executive Council of the Emirate.

RERA: 

CEO: 

The Real Estate Regulatory Agency.

The chief executive officer of RERA.

Department: 

The Land Department.

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However, 
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of 
conflict the Arabic text will prevail.

114114

Owners Association: 

The association formed by the owners of real property units 

including apartments, floors, or parcels of land in jointly owned 

real property."
233,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"1. A Unit Owner, and the developer in respect of unsold Units, will be entitled to attend 

and vote at the meetings of the general assembly of the Owners Association in 

accordance with the Articles of Association of the Owners Association. 

2. Each Unit Owner will have a number of votes in proportion to his share in the Jointly 

Owned Real Property as indicated in the Master Community Declaration.

The name of the Owners Association must feature the phrase “Owners Association”, the"
406,Law No. (7) of 1997 Concerning Land Registration Fees; and,"Any variation in the Real Property Unit by way of division or merger will be registered in 

the Property Register.

Chapter Ten

Title Deeds"
276,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"1. The Landlord may seek eviction of the Tenant from the Real Property before the 

expiry of the Lease Contract term in any of the following cases:

a. Where the Tenant fails to pay the Rent or any part thereof within thirty (30) days 

from the date of service of Notice to pay on the Tenant by the Landlord;

108108

b. Where the Tenant sub-lets the Real Property or any part thereof without obtaining 

the Landlord’s written approval. In this case, the eviction will apply to the Sub-

tenant, who will have the right to claim compensation from the Tenant;

c. Where the Tenant uses the Real Property or allows others to use it for any illegal 

purpose or for a purpose which breaches public order or morals;

d. Where the Tenant makes a change to the Real Property that endangers its safety 

in a manner that makes it impossible to restore the Real Property to its original 

state, or damages the Real Property wilfully, or through gross negligence, by 

failing to exercise due diligence, or by allowing others to cause such damage; 

e. Where the Tenant uses the Real Property for a purpose other than that for which 

the Real Property was let, or otherwise uses such Real Property in a manner that 

violates planning, construction, and use-of-land regulations in force in the Emirate; 

f. Where the Real Property is condemned, provided that the Landlord proves this 

by a technical report attested to by Dubai Municipality, or 

g. Where the Tenant fails to observe any obligation imposed on him by this Law or 

any of the Lease Contract terms within thirty (30) days from the date a Notice to 

perform such obligation or term is served upon him by the Landlord. 

2. Upon expiry of the Lease Contract, the Landlord may seek eviction of the Tenant 

from the Real Property if:

a. a competent Government entity requires demolition and reconstruction of the 

Real Property as per urban development requirements in the Emirate;

b. 

the Real Property is in a condition that requires full renovation or comprehensive 

maintenance that cannot be carried out in the presence of the Tenant in the Real 

Property, provided that the condition of the Real Property is verified by virtue of 

a technical report attested to by Dubai Municipality; 

c. 

the Landlord wishes to demolish the Real Property to reconstruct it or add any new 

constructions that will prevent the Tenant from using the Real Property, provided 

that the Landlord obtains the required permits from the competent entities; or 

d. 

the Landlord wishes to repossess the Real Property for use by him personally or 

by any of his first-degree relatives. 

However, for each of the above-mentioned four cases, the Landlord must notify the Tenant 

109109

of the eviction reasons at least ninety (90) days prior to the expiry of the Lease Contract."
216,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"1. Land owned by developers and used for the construction of Jointly Owned 

Real Property, and Units sold by such developers will be registered with 

the Department. 

2. Where a Unit in Jointly Owned Real Property is used by the Owners of another Jointly 

Owned Real Property, the Owners Association for the latter real property will become 

a member in the Owners Association for the former. 

9090"
52,Law No. (26) of 2007 Regulating the Relationship between Landlords and Tenants in the,"Law No. (26) of 2007 Regulating the Relationship between Landlords and Tenants in the 

Emirate of Dubai and its amendments;"
338,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Real Estate Brokers will be of the following two (2) categories:

Category A: Persons who have experience, are registered on the Roll, and who are 

certified by the Chairman, but are not licensed by the Competent Entities. Persons from 

this category are exempted from registration requirements; and

Category B: Persons who engage in Real Estate Brokerage activities pursuant to a 

licence issued by the Competent Entities.

Chapter Two

Requirements for Registration in the 
Real Estate Brokers Register"
172,"Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai,","The following words and expressions will have the meaning indicated opposite each of 

them unless the context implies otherwise:

Emirate: 

Department: 

RERA: 

The Emirate of Dubai.

The Land Department.

The Real Estate Regulatory Agency.

Property Register: 

The property register maintained by the Department.

© 2014 The Government of Dubai Legal Affairs Department
(1) Every effort has been made to produce an accurate and complete English version of this legislation. However, 
for the purpose of its interpretation and application, reference must be made to the original Arabic text. In case of 
conflict the Arabic text will prevail.

6868

Interim Property Register: The documents maintained by the Department in written 

or electronic format in an electronic record in which 

sale contracts, Off-plan Sales, and other off-plan legal 

dispositions of real property are registered prior to inclusion 

in the Property Register.

Real Property: 

The land and any fixed structure constructed on it.

Real Property Unit: 

Any designated part of Real Property including any part 

designated as off-plan.

Off-plan Sale: 

The sale of designated Real Property Units Off-plan or of 

those which are under unfinished.

Master Developer: 

Any person licensed to engage in real estate development 

and the sale of Real Property Units to third parties in 

the Emirate.

Sub-developer: 

Any person who undertakes part of a real estate 

development project of a Master Developer in accordance 

with a mutual agreement.

Real Estate Broker: 

Any person who undertakes the real estate brokering 

business in accordance with Bylaw No. (85) of 2006 

Regulating the Real Estate Brokers Register in the Emirate.

Competent Entities: 

The entities authorised to license and register real estate 

development projects in the Emirate."
128,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"A request for registration of a Real Property Unit in the Interim Property Register must 

be submitted using the relevant electronic or paper form, along with the supporting 

documents and deeds required by the Department."
358,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"If a number of Real Estate Brokers are engaged to carry out one contract, they will be 

jointly liable unless they are authorised to work severally."
38,Law No. (16) of 2007 Establishing the Real Estate Regulatory Agency;,Law No. (16) of 2007 Establishing the Real Estate Regulatory Agency;
303,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"Any provision in any other legislation will be repealed to the extent that it contradicts the 

provisions of this Law."
56,Decree No. (2) of 1993 Forming a Special Tribunal to Determine Disputes between,"With a view to supporting sustainable development in the Emirate, this Decree aims 

to establish a specialised judicial system to hear Rent Disputes, and to develop the 

procedure for determination of such disputes through an expeditious and simple process 

for the purpose of realising social and economic stability for all persons involved with the 

real property rental sector and other related sectors.

2323

Scope of Application"
196,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;
22,Law No. (9) of 2009 Regulating the Interim Real Property Register of the Emirate of Dubai,"The following words and expressions, wherever mentioned in this Law, will have the 

meaning indicated opposite each of them unless the context implies otherwise:

Emirate: 

Ruler: 

The Emirate of Dubai.

His Highness the Ruler of Dubai.

Government: 

The Government of Dubai.

Executive Council: 

The Executive Council of the Emirate.

Department: 

The Land Department.

Chairman: 

The chairman of the Department.

Director General: 

The director general of the Department.

Real Property Activities: All material acts and 

legal dispositions related 

to 

the 

development, sale, purchase, registration, regulation, valuation, 

and leasing of real property in the Emirate, as well as other 

real property activities and services performed, regulated, or 

supervised by the Department and its affiliated entities.

Scope of Application"
58,Decree No. (2) of 1993.,"The Centre will have its head office in the Department, and may establish other offices in the Emirate.

Jurisdiction of the Centre"
61,Decree No. (2) of 1993.,"A chairman, who must be a judge whose grade is not be lower than the grade of an 

appellate court judge, will be appointed to the Centre pursuant to a decree issued by the 

Ruler. The chairman will undertake the supervision of the judicial sector of the Centre and 

will, in particular, have the powers to:

1. 

supervise the distribution of claims at the First Instance Division and the Appellate Division; 

2. propose the regulations and resolutions necessary for the regulation of the work 

in the judicial sector of the Centre, including the fees and the charges for services 

provided by the Centre; and

3. coordinate with all judicial and government entities with respect to all matters relating 

to the work of the Centre in the judicial sector.

2525

Secretary General of the Centre"
280,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"1. The Tenant has the right of first refusal to return to the Real Property after it has 

been demolished, reconstructed, renovated, or refurbished, provided that the Rent 

is determined in accordance with the provisions of"
146,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"The purchaser may apply to the relevant competent court to terminate the contractual 

relationship between the purchaser and the developer in any of the following cases:

1. 

if the developer refuses, without any reason acceptable to the Department, to deliver 

the final sale agreement of the Real Property Unit to the purchaser;

5858

2. 

if the developer declines to settle the payments in accordance with the construction 

milestones as proposed by RERA;

3. 

if the developer makes material changes to the agreed specifications agreed to in 

the agreement;

4. 

if, upon handover of the Real Property Unit, it is found that the Real Property Unit is 

unfit for use due to material constructional defects; or

5. any other cases that may require termination of the agreement in accordance with 

the general principles of law."
140,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"of this Resolution:

1. The completion percentage of a project must be confirmed by a technical report 

issued by a consultant approved by RERA. Such report must state the completed 

works based on an actual survey of the project.

2. Completion of levelling works and the infrastructure of the project will be deemed as 

commencement of the project construction."
346,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"The Division will issue a Real Estate Broker card to applicant bearing his name, 

address, and registration number in the Register. The name and registration number 

entered in the Register must appear in all correspondence and reports issued by the 

Real Estate Broker. 

137137"
350,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"A Real Estate Broker must provide all information, data, and statistics relating to the Real 

Estate Brokerage activity as requested by the Department."
201,Law No. (27) of 2007 Concerning Jointly Owned Real Property in the Emirate of Dubai;,"No Master Developer or Sub-developer may commence a project or dispose of its Real 

Property Units by way of Off-plan Sale before taking possession of the land on which the 

project will be implemented and obtaining the required approvals from the Competent 

Entities in the Emirate. 

In all events, the Department must designate the entry of the Real Property as 

“under development”."
203,Law No. (27) of 2007 Concerning Jointly Owned Real Property in the Emirate of Dubai;,"Real Property Units sold off-plan and entered in the Interim Property Register maintained 

by the Department may be disposed of by way of sale, mortgage, or any other 

legal disposition."
224,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"A Unit Owner may sell or dispose of his Unit by any means of disposition and may 

also mortgage his Unit to any bank or financial institution, provided that such disposition 

transfers all his rights in the Unit and Common Areas."
10,Law No. (27) of 2007 .................................................................................................................................................................87,"Law No. (27) of 2007 .................................................................................................................................................................87
Concerning Ownership of Jointly Owned Real Property in the 
Emirate of Dubai"
8,Law No. (9) of 2009 ..................................................................................................................................................................67,"Law No. (9) of 2009 ..................................................................................................................................................................67
Amending Law No. (13) of 2008 Regulating the Interim 
Property Register in the Emirate of Dubai

55

Law No. (33) of 2008 Amending Law No. (26) of 2007 ..............................................................................................73
Regulating the Relationship between Landlords and Tenants in 
the Emirate of Dubai"
96,Executive Council Resolution No. (24) of 2006 Approving Charges for Certain Real,"By virtue of this Resolution, the Fees for registration of Real Property Dispositions in the 

Real Property Register, including those related to completed, under-construction, or off-

plan real property, as well as the Fees for services provided by the Department, as set out 

in Table (1) attached hereto, are approved.

Fee Payment Rules"
213,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"This Law will be cited as “Law No. (27) of 2007 Concerning Ownership of Jointly 

Owned Real Property in the Emirate of Dubai”.

The following words and expressions will have the meaning indicated opposite each of"
369,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"A Council comprising four (4) Persons and the Legal Advisor of the Department will be 

established at the Department. Members of the Council will be appointed pursuant to 

a resolution of the Director General. The Council will have jurisdiction to settle disputes 

relating to Brokerage Agreements."
309,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"A Developer may not advertise in local or international media and may not participate 

in local or international exhibitions to promote the sale of Units or Real Property off-plan, 

unless he obtains an authorisation in writing from the Department. The Director General 

will issue the resolutions required for the regulation of advertisements in the media and 

of participation in exhibitions. 

Chapter Two

Opening an Escrow Account"
311,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"An Escrow Account will be opened pursuant to a written agreement between the 

Developer and the Escrow Agent whereby the payments made by off-plan purchasers 

or by the financers of the project are deposited in an account opened with the Escrow 

Agent in the name of the Real Estate Development project.

This agreement will determine the terms of managing the account and the rights and 

obligations of the parties to the agreement. A copy of this agreement will be submitted 

to the Department."
301,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"117117

1. support allocated to RERA in the budget of the Emirate;

2. 

fees and charges for the services provided by RERA to the public; and

3. any other resources approved by the Executive Council."
187,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"The Landlord will be bound to hand over the Real Property in good condition, which 

allows the Tenant full use as stated in the Tenancy Contract. However, the parties may 

agree upon renting an unfinished Real Property provided that the Tenant agrees to 

complete the construction of the Real Property in a manner to render it suitable for use as 

intended. The identity of the party who will incur the costs of completing the construction 

will be determined in the Tenancy Contract."
253,"Law No. (16) of 2007 Establishing the Real Estate Regulatory Agency,","The provisions of this Law will apply to Real Property leased out in the Emirate, including 

vacant and agricultural lands, but excluding hotel establishments and Real Property provided 

by natural or legal persons as accommodation to their employees at no charge.

103103

Lease Contract"
256,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Where the term of a Lease Contract expires, but the Tenant continues to occupy the Real 

Property without any objection by the Landlord, the Lease Contract will be renewed for 

the same term or for a term of one year, whichever is shorter, and under the same terms 

as the previous Lease Contract."
332,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,.6 and
48,Law No. (6) of 1992 Establishing the Judicial Council and its amendments;,Law No. (6) of 1992 Establishing the Judicial Council and its amendments;
339,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,Subject to the provisions of
225,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"A Unit jointly owned by two or more persons may not be sub-divided amongst them 

unless approval of the Department is obtained."
409,Law No. (7) of 1997 Concerning Land Registration Fees; and,1. Title deeds mentioned in
194,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"This Law will be published in the Official Gazette and will come into force on the day on 

which it is published. 

Mohammed bin Rashid Al Maktoum 
Ruler of Dubai

Issued in Dubai on 1 December 2008 

Corresponding to 3 Thu al-Hijjah 1429 A.H.

7979

Law No. (13) of 2008 

Regulating the Interim Property 
Register in the Emirate of Dubai

8181

Law No. (13) of 2008 

Regulating the Interim Property Register 

in the Emirate of Dubai (1)

We, Mohammed bin Rashid Al Maktoum, Ruler of Dubai,

After perusal of:"
313,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"1. An Escrow Account will be opened in the name of the project and will be dedicated 

exclusively to the construction of that Real Estate Development project. No 

attachment may be imposed on the payments deposited in this account for the 

benefit of the creditors of the Developer. 

2. 

In the event of multiple projects implemented by the Developer, each project must 

have a separate Escrow Account.

1. The Department will maintain a special register known as the “Register of Escrow"
373,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"1. An amicable settlement application must be submitted to the Committee on the 

relevant form, to be accompanied with the supporting documents in a number of 

copies equal to the number of disputants. 

2. Upon payment of the prescribed fee, the chairman of the Committee will authorise 

the registration of the application. The secretariat will notify the respondent of 

the application.

3. The respondent must respond in writing to the statement of applicant and to all facts 

and claims included therein, and must submit such response and any supporting 

documents with thesecretariat within one week of the notification.

4. The Council must settle the dispute within a maximum of thirty (30) days of the date 

of referral of the file, and this period may not be extended without valid reasons.

Chapter Six

Penalties and Loss of a Real Estate Broker’s Status"
285,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"Where a dispute arises and the Landlord and Tenant have not agreed on the arbitrators 

or if one or more of the agreed on arbitrators refrains from doing the work, resigns, is 

removed, or disqualified, or if an issue arises preventing the arbitrator from doing his work, 

and there was no agreement between the parties in this regard, the Tribunal, upon the 

request of either party, will appoint the arbitrator(s). The number of arbitrators appointed 

by the Tribunal must be equal to or complete the number of arbitrators agreed on. 

111111"
154,Law No. (13) of 2008 Regulating the Interim Property Register in the Emirate of Dubai and,"If the developer fails to refund the amounts payable to the purchasers within the time 

period set forth in"
101,Executive Council Resolution No. (24) of 2006 Approving Charges for Certain Real,"a. Without prejudice to any stricter penalty stipulated in any other legislation, a person who 

commits any of the acts provided for in"
219,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"of Law No. (7) of 2006 Concerning Real Property Registration 

in the Emirate of Dubai will apply to the ownership of Jointly Owned Real Property. 

Chapter Two

Ownership of Jointly Owned Real Property"
180,Decree No. (2) of 1993 Establishing a Special Tribunal for the Settlement of Disputes,"The provisions of this Law will apply to lands and Real Property leased out in the 

Emirate excluding Real Property provided free of Rent by natural or legal persons to 

7575

accommodate their employees."
24,Law No. (9) of 2009 Regulating the Interim Real Property Register of the Emirate of Dubai,"The head office of the Department will be located in the Emirate, and the Department 

may establish branches and offices within the Emirate. 

99

Objectives of the Department"
345,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"If the Committee rejects the registration application, the applicant may re-apply upon 

fulfilling all requirements within fourteen (14) days from the date on which he is notified 

of the rejection decision."
103,Law Enforcement Officers,"Employees of the Department determined pursuant to a resolution of the Director 

General, in coordination with the Director General of the Government of Dubai Legal 

Affairs Department, will have the capacity of law enforcement officers to record the acts 

committed in breach of the provisions of this Resolution and the resolutions issued in 

pursuance thereof. For this purpose, they may issue the violation reports required in 

this regard.

Grievances"
234,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai; and,"9696

number of the Jointly Owned Real Property, and its name, if any."
115,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"This Decree comes into force on the day on which it is issued and will be published in 

the Official Gazette.

Mohammed bin Rashid Al Maktoum 
Ruler of Dubai

Issued in Dubai on 2 March 2010

Corresponding to 16 Rabi al-Awwal 1431 A.H.

5050

Executive Council Resolution No. (6) 
of 2010 

Approving the Implementing Bylaw 
of Law No. (13) of 2008 Regulating 
the Interim Property Register in the 
Emirate of Dubai

5151

Executive Council Resolution No. (6) of 2010 

Approving the Implementing Bylaw of Law No. (13) of 2008 

Regulating the Interim Property Register in the Emirate of Dubai (1)

We, Hamdan bin Mohammed bin Rashid Al Maktoum, Crown Prince of Dubai, 

Chairman of the Executive Council,

After perusal of:"
43,Decree No. (26) of 2013 Concerning the Rent Disputes Settlement Centre in the Emirate,"This Decree will apply to landlords, whether private or public entities, in the Emirate of 

Dubai, including those in special development zones and free zones such as Dubai 

International Financial Centre.

Average Rental Value"
270,Law and any amendments thereto will be registered with RERA. Judicial authorities and,"The Tenant must pay the Rent on due dates and maintain the Real Property in such a 

manner as an ordinary person would maintain his own property. Without prejudice to the 

Tenant’s obligation to carry out the restorations that have been agreed upon or which are 

customary for Tenants to undertake, the Tenant may not make any changes or carry out 

any restoration or maintenance works to the Real Property unless so permitted by the 

Landlord and after obtaining required licences from the competent official entities."
51,Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;,"Law No. (7) of 2006 Concerning Real Property Registration in the Emirate of Dubai;

The Government of Dubai Human Resources Management Law No. (27) of 2006 and 

its amendments;"
